,Board Size,Total time (s),"""Total cost",Nodes expanded,Moves to solve,Branching factor,n_attacks,sideway_limits
175,7,10.000241041183472,48,7682,1,87.64701934464172,7,0
176,7,0.04400205612182617,151,41,2,3.4482172403827303,0,1
177,7,2.24808406829834,385,2154,4,4.6414015162376945,0,2
178,7,1.7124829292297363,237,1628,5,3.4298547880187904,0,3
179,7,10.000917911529541,535,9595,5,4.60971593009594,8,4
180,7,10.000312089920044,0,7802,0,7802.0,6,0
181,7,0.8354990482330322,449,792,3,5.304950005319615,0,1
182,7,4.842921018600464,507,3473,4,5.10670718773964,0,2
183,7,2.831874132156372,357,2111,5,3.5816353864906203,0,3
184,7,0.3267481327056885,267,307,3,4.185858988061498,0,4
185,7,10.000782012939453,0,7818,0,7818.0,6,0
186,7,10.00066590309143,0,9232,0,9232.0,7,1
187,7,2.0195860862731934,549,1971,4,4.559711077996826,0,2
188,7,0.45181894302368164,137,443,4,3.38283445427456,0,3
189,7,1.0697221755981445,226,1017,3,5.647161892331753,0,4
190,7,10.00049901008606,0,7763,0,7763.0,6,0
191,7,10.000305891036987,432,9246,2,20.988656004707007,5,1
192,7,1.522308111190796,132,1112,4,4.066501693036441,0,2
193,7,2.2448017597198486,392,2168,5,3.597575190864081,0,3
194,7,1.0999176502227783,519,980,6,2.6749644262632732,0,4
195,7,10.00033688545227,147,7773,1,88.16461875378354,9,0
196,7,10.000885963439941,181,9286,2,21.01887946931664,8,1
197,7,0.1964249610900879,127,185,3,3.6880171513613442,0,2
198,7,0.7262299060821533,378,698,3,5.140008718596284,0,3
199,7,0.6256320476531982,599,449,6,2.392722505096812,0,4
200,8,10.001010179519653,32,5019,1,70.84490101623405,7,0
201,8,10.001190900802612,0,6094,0,6094.0,8,1
202,8,0.10732698440551758,58,62,3,2.806066263296683,0,2
203,8,10.001393795013428,0,6160,0,6160.0,10,3
204,8,10.000725030899048,49,6156,1,78.46018098373213,9,4
205,8,10.000538110733032,4,4918,1,70.12845356914696,12,0
206,8,10.001149892807007,82,6078,2,18.24960904898422,8,1
207,8,10.000972032546997,50,6251,2,18.42113984921111,14,2
208,8,10.000586748123169,50,6258,2,18.42801340949422,12,3
209,8,2.2476651668548584,53,1418,4,4.269089366655597,0,4
210,8,10.00060224533081,20,5098,1,71.40028011149536,4,0
211,8,10.00077486038208,0,6068,0,6068.0,7,1
212,8,10.000531196594238,98,6268,1,79.17070165155795,9,2
213,8,10.034042119979858,212,6152,4,5.725366141469399,11,3
214,8,2.9016997814178467,580,1610,6,2.8715605764586756,0,4
215,8,10.000351905822754,0,4952,0,4952.0,6,0
216,8,10.000897884368896,3,5735,1,75.72978278062072,5,1
217,8,10.000730752944946,414,6248,2,18.41819246678493,3,2
218,8,10.001317977905273,369,5930,2,18.100263520882766,8,3
219,8,10.000507116317749,310,5614,4,5.621529339678318,7,4
220,8,10.001106977462769,0,4978,0,4978.0,7,0
221,8,10.000230312347412,66,5900,2,18.069688693211894,7,1
222,8,10.00091290473938,28,5991,3,8.797815090809161,9,2
223,8,10.00105905532837,436,6227,3,8.883205652096578,6,3
224,8,10.00081205368042,186,6059,4,5.707950398691034,12,4
225,8,10.000344276428223,108,4982,1,70.58328414008518,6,0
226,8,10.000410795211792,0,6120,0,6120.0,5,1
227,8,10.001168012619019,0,6330,0,6330.0,8,2
228,8,10.001129150390625,819,6324,4,5.757028404948031,14,3
229,8,10.000899076461792,0,5965,0,5965.0,5,4
230,8,10.00075912475586,0,4421,0,4421.0,7,0
231,8,10.000242233276367,0,5984,0,5984.0,11,1
232,8,10.001043796539307,64,6128,2,18.299515250878013,7,2
233,8,0.7314648628234863,815,388,5,2.7006726994896435,0,3
234,8,6.0466508865356445,989,3630,6,3.225210680248034,0,4
235,8,10.000920057296753,256,4922,1,70.15696686716153,7,0
236,8,10.000527143478394,128,6058,2,18.22956993212198,6,1
237,8,10.00022578239441,147,6283,1,79.26537705707328,7,2
238,8,10.000816106796265,240,6180,4,5.730568325936633,8,3
239,8,10.000887870788574,146,6162,2,18.33329660231392,10,4
240,8,10.000343084335327,54,5041,1,71.0,11,0
241,8,10.00127625465393,182,5940,2,18.110432210393054,9,1
242,8,10.001189947128296,173,6231,3,8.884631871240561,6,2
243,8,10.000456809997559,437,4898,3,8.365746399914999,6,3
244,8,10.001927137374878,120,6194,4,5.733162350426865,6,4
245,8,10.00080418586731,0,5026,0,5026.0,6,0
246,8,10.00077199935913,0,6112,0,6112.0,10,1
247,8,10.00102710723877,800,6216,3,8.87928000333969,4,2
248,8,2.001338005065918,150,1262,3,5.96025497245405,0,3
249,8,10.001106977462769,244,6184,4,5.731309955096447,7,4
250,9,10.00132417678833,96,3478,1,58.974570791146924,5,0
251,9,10.001394987106323,27,4059,1,63.7102817447859,10,1
252,9,10.001375913619995,260,4242,3,8.07035550342952,9,2
253,9,10.000744104385376,180,4233,1,65.06150935845248,6,3
254,9,10.001016855239868,564,4113,3,8.008287893132705,11,4
255,9,10.001516103744507,196,3277,1,57.245087125446844,12,0
256,9,10.000334024429321,0,3878,0,3878.0,10,1
257,9,10.000419616699219,4,3973,1,63.0317380372777,10,2
258,9,10.0002281665802,0,3980,0,3980.0,8,3
259,9,10.03024411201477,758,4164,4,5.295441128375886,13,4
260,9,10.001227855682373,0,3326,0,3326.0,13,0
261,9,10.000510215759277,746,3984,2,15.852816888979406,13,1
262,9,10.002103090286255,0,4104,0,4104.0,6,2
263,9,10.000657081604004,366,3265,2,14.835233803826746,6,3
264,9,10.00222897529602,242,3664,4,5.161680192324743,5,4
265,9,10.000378131866455,18,2635,1,51.332251070842396,11,0
266,9,10.00112009048462,18,3827,1,61.862751312886175,13,1
267,9,10.001771211624146,81,4125,3,8.01412271514017,8,2
268,9,10.002513885498047,845,4056,4,5.26768248178153,9,3
269,9,10.002871036529541,0,4125,0,4125.0,10,4
270,9,10.001419067382812,0,3288,0,3288.0,8,0
271,9,10.000599145889282,7,4033,1,63.50590523722971,8,1
272,9,10.030697107315063,432,4167,3,8.03444487030996,17,2
273,9,10.001705884933472,0,4236,0,4236.0,9,3
274,9,10.001942157745361,149,4190,5,4.015155201836824,7,4
275,9,10.00215482711792,0,3384,0,3384.0,8,0
276,9,10.002247095108032,288,3832,2,15.64858837175816,7,1
277,9,10.001827955245972,80,4118,2,16.028594699337887,8,2
